run,reward_fn,windows,m1_s,m2_s,cost_per_s,benefit_per_sale,roc_auc_test_m1,roc_auc_test_m2,threshold_m1,threshold_m2,baseline_reward,baseline_avg_reward,baseline_sales,baseline_time_s,agent_reward,agent_avg_reward,agent_sales,agent_time_s,sales_lost,time_saved_s,time_saved_pct,reward_gained
RF1_cost0.01_ben10 x DP1_115_230,RF1_cost0.01_ben10,DP1_115_230,115,230,0.01,10.0,0.585,0.447,0.0028,0.0015,89.69,1.99,27,18030.8,68.79,1.53,24,17121.1,3,909.7,5.0,-20.9
RF2_cost0.05_ben10 x DP1_115_230,RF2_cost0.05_ben10,DP1_115_230,115,230,0.05,10.0,0.585,0.447,0.9999,0.9997,-631.54,-14.03,27,18030.8,-258.75,-5.75,0,5175.0,27,12855.8,71.3,372.79
RF1_cost0.01_ben10 x DP2_90_180,RF1_cost0.01_ben10,DP2_90_180,90,180,0.01,10.0,0.753,0.532,0.0087,0.0002,89.69,1.99,27,18030.8,92.9,2.06,27,17710.4,0,320.3,1.8,3.2
RF2_cost0.05_ben10 x DP2_90_180,RF2_cost0.05_ben10,DP2_90_180,90,180,0.05,10.0,0.753,0.532,0.9996,0.9941,-631.54,-14.03,27,18030.8,-202.5,-4.5,0,4050.0,27,13980.8,77.5,429.04
